target,model,feature_set,fold,metric,value,balancing
ADDEPEV3,RandomForest,rf_top30,1,accuracy,0.7658622887409068,class_weight
ADDEPEV3,RandomForest,rf_top30,1,precision,0.4661859286688755,class_weight
ADDEPEV3,RandomForest,rf_top30,1,recall,0.7465279583875163,class_weight
ADDEPEV3,RandomForest,rf_top30,1,f1,0.5739537301793606,class_weight
ADDEPEV3,RandomForest,rf_top30,1,specificity,0.7710408626718865,class_weight
ADDEPEV3,RandomForest,rf_top30,1,roc_auc,0.834848656834536,class_weight
ADDEPEV3,RandomForest,rf_top30,1,pr_auc,0.6187965139724426,class_weight
ADDEPEV3,RandomForest,rf_top30,1,brier,0.1611529500300503,class_weight
ADDEPEV3,LinearSVC,rf_top30,1,accuracy,0.8351025252192259,class_weight
ADDEPEV3,LinearSVC,rf_top30,1,precision,0.6864998673857307,class_weight
ADDEPEV3,LinearSVC,rf_top30,1,recall,0.40390117035110534,class_weight
ADDEPEV3,LinearSVC,rf_top30,1,f1,0.5085800366780194,class_weight
ADDEPEV3,LinearSVC,rf_top30,1,specificity,0.9505969878930577,class_weight
ADDEPEV3,LinearSVC,rf_top30,1,roc_auc,0.8328368982294226,class_weight
ADDEPEV3,LinearSVC,rf_top30,1,pr_auc,0.6134876094458356,class_weight
ADDEPEV3,LinearSVC,rf_top30,1,brier,0.11937612166878143,class_weight
ADDEPEV3,LogisticRegression,rf_top30,1,accuracy,0.7689281554251555,class_weight
ADDEPEV3,LogisticRegression,rf_top30,1,precision,0.47004485794982553,class_weight
ADDEPEV3,LogisticRegression,rf_top30,1,recall,0.735812743823147,class_weight
ADDEPEV3,LogisticRegression,rf_top30,1,f1,0.5736415247364153,class_weight
ADDEPEV3,LogisticRegression,rf_top30,1,specificity,0.7777979018348496,class_weight
ADDEPEV3,LogisticRegression,rf_top30,1,roc_auc,0.8337495942904942,class_weight
ADDEPEV3,LogisticRegression,rf_top30,1,pr_auc,0.6147616128761897,class_weight
ADDEPEV3,LogisticRegression,rf_top30,1,brier,0.16282425397845865,class_weight
ADDEPEV3,XGBoost,rf_top30,1,accuracy,0.8383881672930266,class_weight
ADDEPEV3,XGBoost,rf_top30,1,precision,0.6857424765663542,class_weight
ADDEPEV3,XGBoost,rf_top30,1,recall,0.4338101430429129,class_weight
ADDEPEV3,XGBoost,rf_top30,1,f1,0.5314302099595374,class_weight
ADDEPEV3,XGBoost,rf_top30,1,specificity,0.9467517449879488,class_weight
ADDEPEV3,XGBoost,rf_top30,1,roc_auc,0.8393725853660357,class_weight
ADDEPEV3,XGBoost,rf_top30,1,pr_auc,0.6265529785851899,class_weight
ADDEPEV3,XGBoost,rf_top30,1,brier,0.11687852442264557,class_weight
ADDEPEV3,LightGBM,rf_top30,1,accuracy,0.7705874596162722,class_weight
ADDEPEV3,LightGBM,rf_top30,1,precision,0.4728396685518874,class_weight
ADDEPEV3,LightGBM,rf_top30,1,recall,0.7479843953185956,class_weight
ADDEPEV3,LightGBM,rf_top30,1,f1,0.5794064911255716,class_weight
ADDEPEV3,LightGBM,rf_top30,1,specificity,0.7766415425554147,class_weight
ADDEPEV3,LightGBM,rf_top30,1,roc_auc,0.8391839339561178,class_weight
ADDEPEV3,LightGBM,rf_top30,1,pr_auc,0.6280251716067697,class_weight
ADDEPEV3,LightGBM,rf_top30,1,brier,0.1594075792807232,class_weight
ADDEPEV3,RandomForest,rf_top30,2,accuracy,0.7685080383732047,class_weight
ADDEPEV3,RandomForest,rf_top30,2,precision,0.4695289483266576,class_weight
ADDEPEV3,RandomForest,rf_top30,2,recall,0.7377893368010403,class_weight
ADDEPEV3,RandomForest,rf_top30,2,f1,0.5738560504915645,class_weight
ADDEPEV3,RandomForest,rf_top30,2,specificity,0.7767359563085153,class_weight
