model,metric,mean,std
LightGBM,accuracy,0.7719700429941219,0.0011238286805902995
LightGBM,brier,0.1587208156216763,0.0006001977479944912
LightGBM,f1,0.5798589585074896,0.0009867289599377082
LightGBM,pr_auc,0.6280894119906927,0.003067274783033991
LightGBM,precision,0.47471414154111213,0.0015370080165239722
LightGBM,recall,0.744853055916775,0.003763033321328496
LightGBM,roc_auc,0.8386267324797897,0.0012106576363428187
LightGBM,specificity,0.7792332349488895,0.0022296325609424327
LinearSVC,accuracy,0.8348856933384793,0.0008574448343961156
LinearSVC,brier,0.11940455137199857,0.00042899110623229237
LinearSVC,f1,0.5055182539819358,0.0038432350521019993
LinearSVC,pr_auc,0.6144078970761613,0.0029549717175392336
LinearSVC,precision,0.6881190953763676,0.0035222257519856946
LinearSVC,recall,0.39952145643693104,0.00452227747440866
LinearSVC,roc_auc,0.8322686054505407,0.0009208003296118948
LinearSVC,specificity,0.9514964595491866,0.0009169595390923855
LogisticRegression,accuracy,0.7700294086259373,0.0009985516257873842
LogisticRegression,brier,0.1621568653175735,0.0006266205966529165
LogisticRegression,f1,0.5737511867035341,0.0010557301230779165
LogisticRegression,pr_auc,0.6156366963526576,0.0028488819639614755
LogisticRegression,precision,0.47150749750165877,0.0013756720721383475
LogisticRegression,recall,0.7326293888166451,0.0033551879468279545
LogisticRegression,roc_auc,0.8330524642137698,0.0008441492315058762
LogisticRegression,specificity,0.7800468741699124,0.001903897503255193
RandomForest,accuracy,0.7664712127069181,0.0012116118319048118
RandomForest,brier,0.16060225745345968,0.0005500358635877552
RandomForest,f1,0.5737007086472966,0.0012571112192279732
RandomForest,pr_auc,0.6193564066935344,0.003497538842630875
RandomForest,precision,0.46692489111142954,0.0016037026572274036
RandomForest,recall,0.743812743823147,0.004241489044954675
RandomForest,roc_auc,0.8342398917618825,0.0013191368951064137
RandomForest,specificity,0.7725402055259065,0.002364927182312619
XGBoost,accuracy,0.8381625731845425,0.0009694514346786358
XGBoost,brier,0.1171229600906372,0.0005028824139585209
XGBoost,f1,0.5280730194624308,0.0046926791937680285
XGBoost,pr_auc,0.6270757158589124,0.0033006816129363343
XGBoost,precision,0.6876850673339396,0.0038847572647993413
XGBoost,recall,0.42862938881664503,0.006148257675257967
XGBoost,roc_auc,0.8384031096400543,0.0011543448933664718
XGBoost,specificity,0.9478545843966089,0.0012624704031457678
