name,tier,rf_importance,univariate,mi
_MENT14D,leakage,0.1541446336951569,0.4508156334858643,0.0904176280643593
DECIDE,strong,0.08806633192475714,0.34048519074974576,0.046393568380339395
MENTHLTH,leakage,0.06459855479394107,0.3275135419776957,0.04756924500282696
POORHLTH,leakage,0.05451210737081169,0.1996243814326716,0.03674640923609772
DIFFALON,strong,0.02588726642705934,0.2097453980976078,0.017780850980203565
_PHYS14D,leakage,0.02058240309395417,0.23028854708441662,0.024135722935094805
EMPLOY1,moderate,0.017487584033477943,0.208157448061676,0.01852877466246542
GENHLTH,strong,0.017037182982688952,0.22021519889650487,0.023374188946117334
SDLONELY,strong,0.016438470909174316,0.313596622490406,0.014020055006471646
_AGE80,weak,0.014267826940400534,0.12614280417769477,0.008517777008648333
_RFHLTH,leakage,0.012872601867913943,0.18808614409349786,0.015966080892487244
_SEX,weak,0.01249477721940529,0.13452183036253018,0.009195209548009148
_BMI5,weak,0.011555972765057512,0.24274231187143006,0.027080008944102105
PHYSHLTH,strong,0.01125866531690729,0.13921378972040419,0.014085667630072726
_AGEG5YR,weak,0.010522845039952197,0.12492534153298171,0.00853498656061464
ECIGNOW3,moderate,0.009381716062374068,0.1645244626915129,0.011848342356488566
LSATISFY,strong,0.008896672601952706,0.27774763991433077,0.014814620286656614
ASTHMA3,strong,0.008843890093043635,0.15872993239011315,0.01118936711248364
_LTASTH1,weak,0.008778746891621446,0.15980935737996832,0.011504069676320065
_ASTHMS1,weak,0.008666553354474344,0.16300681068359568,0.011882470306648255
HEIGHT3,moderate,0.008402546584052248,0.052569536665928264,0.004881196011912614
_AIDTST4,weak,0.008344132267400453,0.14422619459133665,0.009803154757190263
WTKG3,weak,0.00804365859624847,0.04957582135578967,0.004636305068677737
_CASTHM1,weak,0.007783229011012551,0.15032909837203812,0.009971320274922348
HAVARTH4,strong,0.007585089664474256,0.12267773805540823,0.007238072287596958
_DRDXAR2,weak,0.00742587087282546,0.12267773805540823,0.007238072287596958
HIVTST7,moderate,0.00739456657842138,0.14445137839742844,0.009839152848508089
HIVTSTD3,weak,0.007259588029839975,0.03321747548890156,0.0198864603445561
WEIGHT2,moderate,0.007219068272090152,0.03305344173123102,0.003106874459229747
_AGE_G,weak,0.0069741735660524455,0.11327172530366866,0.0065754030930775115
_PACKYRS,weak,0.006941500585228563,0.07743486265427409,0.00653461095146611
_STATE,weak,0.006655343357831087,0.0764610248688979,0.002946584879678124
HTIN4,weak,0.00659204165726296,0.08026858225862357,0.005446266970381641
