model,metric,mean,std
LightGBM,accuracy,0.7752007686559299,0.001176006536519742
LightGBM,accuracy@thr,0.8144595895438741,
LightGBM,brier,0.1567634349694411,0.000688692642428546
LightGBM,f1,0.5849174626738891,0.0013248746926282499
LightGBM,f1@thr,0.597442230847726,
LightGBM,pr_auc,0.6353816850930805,0.003501819574563618
LightGBM,precision,0.4795143245825055,0.0016787012263998699
LightGBM,precision@thr,0.5515146713150041,
LightGBM,recall,0.7497321196358907,0.003726401694934265
LightGBM,recall@thr,0.6517139141742523,
LightGBM,roc_auc,0.843100262269877,0.0012996753239216216
LightGBM,specificity,0.7820224590734848,0.0021209018264369732
LightGBM,specificity@thr,0.8580504401180336,
LightGBM,threshold,0.6139213181512408,
LinearSVC,accuracy,0.8333054934831141,0.0009996309931530273
LinearSVC,accuracy@thr,0.8022048060904692,
LinearSVC,brier,0.12130320772898609,0.0004599859042196296
LinearSVC,f1,0.48934899584875885,0.004862332813415223
LinearSVC,f1@thr,0.576810585613121,
LinearSVC,pr_auc,0.6071294322272903,0.0029857079742062883
LinearSVC,precision,0.6934710975000431,0.004177419178265776
LinearSVC,precision@thr,0.5262868861602354,
LinearSVC,recall,0.37809102730819244,0.005546117352009588
LinearSVC,recall@thr,0.6380650195058517,
LinearSVC,roc_auc,0.8252748397587943,0.0006216605325752747
LinearSVC,specificity,0.9552330740068138,0.0010501371517481393
LinearSVC,specificity@thr,0.8461690643973908,
LinearSVC,threshold,0.24771554435613252,
LogisticRegression,accuracy,0.7828314366685336,0.000861112728724081
LogisticRegression,accuracy@thr,0.8006268049212538,
LogisticRegression,brier,0.16361903113653242,0.0006670081103677698
LogisticRegression,f1,0.5732929008972871,0.0008036210953171727
LogisticRegression,f1@thr,0.5777823286294076,
LogisticRegression,pr_auc,0.6079128138557789,0.0029965575707538604
LogisticRegression,precision,0.4900829762519786,0.0013982137406168048
LogisticRegression,precision@thr,0.5227783813831266,
LogisticRegression,recall,0.6905487646293889,0.00255919946696064
LogisticRegression,recall@thr,0.6457217165149545,
LogisticRegression,roc_auc,0.8259853066953623,0.0006530652321034579
LogisticRegression,specificity,0.8075490257243402,0.0016159909615364163
LogisticRegression,specificity@thr,0.8421175821511866,
LogisticRegression,threshold,0.5445066985338045,
RandomForest,accuracy,0.768728324288131,0.0005520011576900824
RandomForest,accuracy@thr,0.8031828151716681,
RandomForest,brier,0.1708904147217407,0.0005411887298638918
RandomForest,f1,0.5709858688426536,0.0008833592365522973
RandomForest,f1@thr,0.5811502897472954,
RandomForest,pr_auc,0.6117752754043021,0.003017826885391259
RandomForest,precision,0.4694806580008121,0.0007457835888523885
RandomForest,precision@thr,0.527922706956034,
RandomForest,recall,0.7284993498049415,0.0029522235331810283
RandomForest,recall@thr,0.6463146944083225,
RandomForest,roc_auc,0.8312442095616273,0.0013291904724373955
RandomForest,specificity,0.7795035126333194,0.001278646715524154
RandomForest,specificity@thr,0.8451993836397023,
RandomForest,threshold,0.5534058444245102,
XGBoost,accuracy,0.8402746342644967,0.0014206710615526973
XGBoost,accuracy@thr,0.8163628611490837,
XGBoost,brier,0.11562875211238861,0.0005544225448710371
XGBoost,f1,0.5383048505063537,0.004393632074101034
XGBoost,f1@thr,0.5972428419936373,
XGBoost,pr_auc,0.6353765440291536,0.003354789769487789
XGBoost,precision,0.6913451403285857,0.006508141126519684
XGBoost,precision@thr,0.5564467597790452,
XGBoost,recall,0.4407698309492848,0.005160750178844573
XGBoost,recall@thr,0.6444941482444734,
XGBoost,roc_auc,0.8433485112474735,0.0011113578754255399
XGBoost,specificity,0.9472805794384923,0.0016994938766445428
XGBoost,specificity@thr,0.8623972848938785,
XGBoost,threshold,0.30360954999923706,
