target,model,feature_set,fold,metric,value
ADDEPEV3,RandomForest,recommended,1,accuracy,0.7604
ADDEPEV3,RandomForest,recommended,1,precision,0.4467605633802817
ADDEPEV3,RandomForest,recommended,1,recall,0.563076923076923
ADDEPEV3,RandomForest,recommended,1,f1,0.4982198952879581
ADDEPEV3,RandomForest,recommended,1,specificity,0.8132488114104596
ADDEPEV3,RandomForest,recommended,1,roc_auc,0.7661919710424893
ADDEPEV3,RandomForest,recommended,1,pr_auc,0.5058046590864991
ADDEPEV3,RandomForest,recommended,1,brier,0.16651343622475467
ADDEPEV3,LinearSVC,recommended,1,accuracy,0.72005
ADDEPEV3,LinearSVC,recommended,1,precision,0.39295730757245245
ADDEPEV3,LinearSVC,recommended,1,recall,0.5969230769230769
ADDEPEV3,LinearSVC,recommended,1,f1,0.47392652447618155
ADDEPEV3,LinearSVC,recommended,1,specificity,0.753026941362916
ADDEPEV3,LinearSVC,recommended,1,roc_auc,0.7422511914027701
ADDEPEV3,LinearSVC,recommended,1,pr_auc,0.48019879240113605
ADDEPEV3,LinearSVC,recommended,1,brier,0.18482213778697032
ADDEPEV3,LogisticRegression,recommended,1,accuracy,0.71745
ADDEPEV3,LogisticRegression,recommended,1,precision,0.38897539707256307
ADDEPEV3,LogisticRegression,recommended,1,recall,0.5912426035502959
ADDEPEV3,LogisticRegression,recommended,1,f1,0.46924016154785386
ADDEPEV3,LogisticRegression,recommended,1,specificity,0.7512519809825674
ADDEPEV3,LogisticRegression,recommended,1,roc_auc,0.7399627228312342
ADDEPEV3,LogisticRegression,recommended,1,pr_auc,0.48398273731367636
ADDEPEV3,LogisticRegression,recommended,1,brier,0.18574829368174586
ADDEPEV3,RandomForest,recommended,2,accuracy,0.76435
ADDEPEV3,RandomForest,recommended,2,precision,0.4526581296080714
ADDEPEV3,RandomForest,recommended,2,recall,0.552189349112426
ADDEPEV3,RandomForest,recommended,2,f1,0.4974944023883143
ADDEPEV3,RandomForest,recommended,2,specificity,0.8211727416798732
ADDEPEV3,RandomForest,recommended,2,roc_auc,0.7651080824088747
ADDEPEV3,RandomForest,recommended,2,pr_auc,0.4957300503280324
ADDEPEV3,RandomForest,recommended,2,brier,0.16590840447054306
ADDEPEV3,LinearSVC,recommended,2,accuracy,0.725
ADDEPEV3,LinearSVC,recommended,2,precision,0.39882558324075545
ADDEPEV3,LinearSVC,recommended,2,recall,0.5947928994082841
ADDEPEV3,LinearSVC,recommended,2,f1,0.4774843245297359
ADDEPEV3,LinearSVC,recommended,2,specificity,0.7598732171156893
ADDEPEV3,LinearSVC,recommended,2,roc_auc,0.7407673065201287
ADDEPEV3,LinearSVC,recommended,2,pr_auc,0.4848009335538342
ADDEPEV3,LinearSVC,recommended,2,brier,0.1829202961215695
ADDEPEV3,LogisticRegression,recommended,2,accuracy,0.7221
ADDEPEV3,LogisticRegression,recommended,2,precision,0.3942902458366376
ADDEPEV3,LogisticRegression,recommended,2,recall,0.5884023668639053
ADDEPEV3,LogisticRegression,recommended,2,f1,0.4721747388414055
ADDEPEV3,LogisticRegression,recommended,2,specificity,0.7579080824088748
ADDEPEV3,LogisticRegression,recommended,2,roc_auc,0.7388214518140643
ADDEPEV3,LogisticRegression,recommended,2,pr_auc,0.4893000849147443
ADDEPEV3,LogisticRegression,recommended,2,brier,0.18372412825127166
ADDEPEV3,RandomForest,recommended,3,accuracy,0.75615
ADDEPEV3,RandomForest,recommended,3,precision,0.43951762523191096
ADDEPEV3,RandomForest,recommended,3,recall,0.5607100591715977
ADDEPEV3,RandomForest,recommended,3,f1,0.49277171086843474
ADDEPEV3,RandomForest,recommended,3,specificity,0.8084944532488114
ADDEPEV3,RandomForest,recommended,3,roc_auc,0.7658039478989863
ADDEPEV3,RandomForest,recommended,3,pr_auc,0.5006853648678686
ADDEPEV3,RandomForest,recommended,3,brier,0.16729306707345304
ADDEPEV3,LinearSVC,recommended,3,accuracy,0.7248
ADDEPEV3,LinearSVC,recommended,3,precision,0.4000312646553072
ADDEPEV3,LinearSVC,recommended,3,recall,0.6056804733727811
ADDEPEV3,LinearSVC,recommended,3,f1,0.4818301638109584
ADDEPEV3,LinearSVC,recommended,3,specificity,0.756703645007924
ADDEPEV3,LinearSVC,recommended,3,roc_auc,0.7454937574433369
ADDEPEV3,LinearSVC,recommended,3,pr_auc,0.4859390490817268
ADDEPEV3,LinearSVC,recommended,3,brier,0.18355159212229225
ADDEPEV3,LogisticRegression,recommended,3,accuracy,0.722
ADDEPEV3,LogisticRegression,recommended,3,precision,0.3954908407703147
ADDEPEV3,LogisticRegression,recommended,3,recall,0.5978698224852071
ADDEPEV3,LogisticRegression,recommended,3,f1,0.47606483226535995
ADDEPEV3,LogisticRegression,recommended,3,specificity,0.7552456418383519
ADDEPEV3,LogisticRegression,recommended,3,roc_auc,0.7428903271786118
ADDEPEV3,LogisticRegression,recommended,3,pr_auc,0.4891867435302918
ADDEPEV3,LogisticRegression,recommended,3,brier,0.18472123809201138
ADDEPEV3,RandomForest,recommended,4,accuracy,0.757
ADDEPEV3,RandomForest,recommended,4,precision,0.4399015710770396
ADDEPEV3,RandomForest,recommended,4,recall,0.5500591715976332
ADDEPEV3,RandomForest,recommended,4,f1,0.48885149347917545
ADDEPEV3,RandomForest,recommended,4,specificity,0.8124247226624406
ADDEPEV3,RandomForest,recommended,4,roc_auc,0.7656442614803214
ADDEPEV3,RandomForest,recommended,4,pr_auc,0.4975795757958538
ADDEPEV3,RandomForest,recommended,4,brier,0.16697481151988386
ADDEPEV3,LinearSVC,recommended,4,accuracy,0.7226
ADDEPEV3,LinearSVC,recommended,4,precision,0.39691444600280507
ADDEPEV3,LinearSVC,recommended,4,recall,0.6028402366863905
