target,model,feature_set,fold,metric,value
_MENT14D,RandomForest,recommended,1,accuracy,0.72035
_MENT14D,RandomForest,recommended,1,precision,0.7766948421597378
_MENT14D,RandomForest,recommended,1,recall,0.7498542759596969
_MENT14D,RandomForest,recommended,1,f1,0.7630385967885438
_MENT14D,RandomForest,recommended,1,specificity,0.6760105118258041
_MENT14D,RandomForest,recommended,1,roc_auc,0.7899150460914377
_MENT14D,RandomForest,recommended,1,pr_auc,0.8354419255579306
_MENT14D,RandomForest,recommended,1,brier,0.18552190816689618
_MENT14D,LinearSVC,recommended,1,accuracy,0.7019
_MENT14D,LinearSVC,recommended,1,precision,0.7731996024216138
_MENT14D,LinearSVC,recommended,1,recall,0.7125489216421017
_MENT14D,LinearSVC,recommended,1,f1,0.7416363321199515
_MENT14D,LinearSVC,recommended,1,specificity,0.6858966337129271
_MENT14D,LinearSVC,recommended,1,roc_auc,0.7721150748334903
_MENT14D,LinearSVC,recommended,1,pr_auc,0.8205618125301881
_MENT14D,LinearSVC,recommended,1,brier,0.19406687389612368
_MENT14D,LogisticRegression,recommended,1,accuracy,0.70605
_MENT14D,LogisticRegression,recommended,1,precision,0.7690956979806848
_MENT14D,LogisticRegression,recommended,1,recall,0.729452910317262
_MENT14D,LogisticRegression,recommended,1,f1,0.7487499465789136
_MENT14D,LogisticRegression,recommended,1,specificity,0.6708797397071705
_MENT14D,LogisticRegression,recommended,1,roc_auc,0.7719323082251361
_MENT14D,LogisticRegression,recommended,1,pr_auc,0.8198240700990904
_MENT14D,LogisticRegression,recommended,1,brier,0.192472163524503
_MENT14D,RandomForest,recommended,2,accuracy,0.72385
_MENT14D,RandomForest,recommended,2,precision,0.7754374044504841
_MENT14D,RandomForest,recommended,2,recall,0.7602631359813473
_MENT14D,RandomForest,recommended,2,f1,0.7677753016860783
_MENT14D,RandomForest,recommended,2,specificity,0.6691277687398323
_MENT14D,RandomForest,recommended,2,roc_auc,0.7926557845141777
_MENT14D,RandomForest,recommended,2,pr_auc,0.8395297158406285
_MENT14D,RandomForest,recommended,2,brier,0.18387305338001853
_MENT14D,LinearSVC,recommended,2,accuracy,0.7081
_MENT14D,LinearSVC,recommended,2,precision,0.7769500044879275
_MENT14D,LinearSVC,recommended,2,recall,0.7207927387792489
_MENT14D,LinearSVC,recommended,2,f1,0.7478185745140389
_MENT14D,LinearSVC,recommended,2,specificity,0.6890251532974596
_MENT14D,LinearSVC,recommended,2,roc_auc,0.7759467910017306
_MENT14D,LinearSVC,recommended,2,pr_auc,0.8246145661022595
_MENT14D,LinearSVC,recommended,2,brier,0.1919544642525731
_MENT14D,LogisticRegression,recommended,2,accuracy,0.7118
_MENT14D,LogisticRegression,recommended,2,precision,0.7721607251808594
_MENT14D,LogisticRegression,recommended,2,recall,0.7376967274544092
_MENT14D,LogisticRegression,recommended,2,f1,0.7545353888084491
_MENT14D,LogisticRegression,recommended,2,specificity,0.6728819922412714
_MENT14D,LogisticRegression,recommended,2,roc_auc,0.7758954175266644
_MENT14D,LogisticRegression,recommended,2,pr_auc,0.824004508606994
_MENT14D,LogisticRegression,recommended,2,brier,0.19015649296844986
_MENT14D,RandomForest,recommended,3,accuracy,0.7289
_MENT14D,RandomForest,recommended,3,precision,0.7822435512897421
_MENT14D,RandomForest,recommended,3,recall,0.760096594221001
_MENT14D,RandomForest,recommended,3,f1,0.7710110651237435
_MENT14D,RandomForest,recommended,3,specificity,0.6820172694281066
_MENT14D,RandomForest,recommended,3,roc_auc,0.7941028856897767
_MENT14D,RandomForest,recommended,3,pr_auc,0.8403772475100059
_MENT14D,RandomForest,recommended,3,brier,0.1841119300929542
_MENT14D,LinearSVC,recommended,3,accuracy,0.71055
_MENT14D,LinearSVC,recommended,3,precision,0.7814989138305576
_MENT14D,LinearSVC,recommended,3,recall,0.7189607794154385
_MENT14D,LinearSVC,recommended,3,f1,0.7489265732749274
_MENT14D,LinearSVC,recommended,3,specificity,0.6979101489175322
_MENT14D,LinearSVC,recommended,3,roc_auc,0.7779947898959816
_MENT14D,LinearSVC,recommended,3,pr_auc,0.8259373638947414
_MENT14D,LinearSVC,recommended,3,brier,0.19185398854136962
_MENT14D,LogisticRegression,recommended,3,accuracy,0.71355
_MENT14D,LogisticRegression,recommended,3,precision,0.7763111580429426
_MENT14D,LogisticRegression,recommended,3,recall,0.7346157048880007
_MENT14D,LogisticRegression,recommended,3,f1,0.7548881187695203
_MENT14D,LogisticRegression,recommended,3,specificity,0.6818921286447254
_MENT14D,LogisticRegression,recommended,3,roc_auc,0.7777471759985125
_MENT14D,LogisticRegression,recommended,3,pr_auc,0.8251011561777529
_MENT14D,LogisticRegression,recommended,3,brier,0.18999698759017805
_MENT14D,RandomForest,recommended,4,accuracy,0.72395
_MENT14D,RandomForest,recommended,4,precision,0.7783115991763898
_MENT14D,RandomForest,recommended,4,recall,0.7554334249313015
_MENT14D,RandomForest,recommended,4,f1,0.7667018804141137
_MENT14D,RandomForest,recommended,4,specificity,0.6766362157427106
_MENT14D,RandomForest,recommended,4,roc_auc,0.7932868237696713
_MENT14D,RandomForest,recommended,4,pr_auc,0.8366429372927333
_MENT14D,RandomForest,recommended,4,brier,0.18411393367823883
_MENT14D,LinearSVC,recommended,4,accuracy,0.70545
