target,model,feature_set,fold,metric,value,balancing
_MENT14D,RandomForest,recommended,1,accuracy,0.72605,class_weight
_MENT14D,RandomForest,recommended,1,precision,0.7881729920564872,class_weight
_MENT14D,RandomForest,recommended,1,recall,0.7436089599467066,class_weight
_MENT14D,RandomForest,recommended,1,f1,0.7652427267663567,class_weight
_MENT14D,RandomForest,recommended,1,specificity,0.6996621198848705,class_weight
_MENT14D,RandomForest,recommended,1,roc_auc,0.7936830195523799,class_weight
_MENT14D,RandomForest,recommended,1,pr_auc,0.8374885954401422,class_weight
_MENT14D,RandomForest,recommended,1,brier,0.18558817997307378,class_weight
_MENT14D,LinearSVC,recommended,1,accuracy,0.727,class_weight
_MENT14D,LinearSVC,recommended,1,precision,0.7413221313287641,class_weight
_MENT14D,LinearSVC,recommended,1,recall,0.8376217836622533,class_weight
_MENT14D,LinearSVC,recommended,1,f1,0.7865353037766831,class_weight
_MENT14D,LinearSVC,recommended,1,specificity,0.5607558503316231,class_weight
_MENT14D,LinearSVC,recommended,1,roc_auc,0.782324953819362,class_weight
_MENT14D,LinearSVC,recommended,1,pr_auc,0.8299775581835601,class_weight
_MENT14D,LinearSVC,recommended,1,brier,0.18249751269246786,class_weight
_MENT14D,LogisticRegression,recommended,1,accuracy,0.71505,class_weight
_MENT14D,LogisticRegression,recommended,1,precision,0.780743904609361,class_weight
_MENT14D,LogisticRegression,recommended,1,recall,0.7306187026396869,class_weight
_MENT14D,LogisticRegression,recommended,1,f1,0.7548500881834215,class_weight
_MENT14D,LogisticRegression,recommended,1,specificity,0.691653109748467,class_weight
_MENT14D,LogisticRegression,recommended,1,roc_auc,0.7825177137669835,class_weight
_MENT14D,LogisticRegression,recommended,1,pr_auc,0.8301233444448572,class_weight
_MENT14D,LogisticRegression,recommended,1,brier,0.1890579412710771,class_weight
_MENT14D,XGBoost,recommended,1,accuracy,0.7384,class_weight
_MENT14D,XGBoost,recommended,1,precision,0.7554081555739806,class_weight
_MENT14D,XGBoost,recommended,1,recall,0.8345407610958447,class_weight
_MENT14D,XGBoost,recommended,1,f1,0.7930052223453078,class_weight
_MENT14D,XGBoost,recommended,1,specificity,0.5939181579276687,class_weight
