model,metric,mean,std
LinearSVC,accuracy,0.7060299999999999,0.0033779801657203437
LinearSVC,brier,0.19248295111446195,0.0009156601165199954
LinearSVC,f1,0.7453628325019221,0.002992003170613652
LinearSVC,pr_auc,0.8233897214412508,0.002108116153986455
LinearSVC,precision,0.7765979958522442,0.0030938377218450545
LinearSVC,recall,0.7165459238904155,0.0033068081691506332
LinearSVC,roc_auc,0.7753789369523352,0.0021107584550693324
LinearSVC,specificity,0.6902265048179201,0.004570294919844766
LogisticRegression,accuracy,0.7094199999999999,0.00315646162656857
LogisticRegression,brier,0.19078783265317067,0.0009959084774872923
LogisticRegression,f1,0.7517372527394021,0.0028166114055401745
LogisticRegression,pr_auc,0.8227233742012393,0.0020805315098043845
LogisticRegression,precision,0.7718124168628251,0.0027639344756572094
LogisticRegression,recall,0.7326838204679824,0.0034269786511502585
LogisticRegression,roc_auc,0.775153539738201,0.0021028698074992956
LogisticRegression,specificity,0.6744587661118759,0.004303824240010373
RandomForest,accuracy,0.7247899999999999,0.003265233529167584
RandomForest,brier,0.1841655545370488,0.000844055699634307
RandomForest,f1,0.7676125417982764,0.003042445592801162
RandomForest,pr_auc,0.8386060208344508,0.0024378026524605714
RandomForest,precision,0.7785378215587999,0.002689597562154243
RandomForest,recall,0.7569989174785577,0.004451449722929646
RandomForest,roc_auc,0.7931015374643047,0.002083894161239987
RandomForest,specificity,0.676385934175948,0.004681503158555835
